month,noActivity,men,women,lessThan25,from25to49,moreThan50,lessThanAYear,moreThanAYear
1996-01-01,3121,1467.8,1653.2,643.6,2117,360.4,2386,1358
1996-02-01,3133.6,1478.7,1654.9,644.1,2122.3,367.2,2406,1355.2
1996-03-01,3135,1478.4,1656.6,643.7,2123.5,367.8,2426.6,1350
1996-04-01,3136,1477,1659,642.1,2124.1,369.8,2433.4,1348.5
1996-05-01,3149.1,1484,1665.1,642.3,2131.5,375.3,2448.4,1351.7
1996-06-01,3134.3,1472.2,1662.1,634.7,2125.8,373.8,2454.3,1358.3
1996-07-01,3135.8,1476.7,1659.1,632.4,2128.8,374.6,2456.3,1375.1
1996-08-01,3128.1,1469.8,1658.3,631.1,2118.4,378.6,2468.8,1390.4
1996-09-01,3161.3,1496.5,1664.8,636.5,2143,381.8,2469.6,1397.3
1996-10-01,3152.1,1495.1,1657,632,2136.8,383.3,2465,1410
1996-11-01,3171.4,1508.5,1662.9,637.7,2144.7,389,2469.6,1426
1996-12-01,3176.5,1512.7,1663.8,632.5,2151.4,392.6,2476.3,1436.3
1997-01-01,3195.6,1528.6,1667,632.2,2168,395.4,2483.8,1457.1
1997-02-01,3181.6,1513.8,1667.8,627.8,2158.1,395.7,2466.1,1473.3
1997-03-01,3182.4,1511.6,1670.8,623,2161.2,398.2,2461.4,1488.2
1997-04-01,3178.7,1509.1,1669.6,612.4,2165.3,401,2457.3,1504.8
1997-05-01,3191.5,1516.3,1675.2,610.1,2175.2,406.2,2463.3,1515.4
1997-06-01,3190.1,1514.8,1675.3,602,2178.3,409.8,2475.7,1529.9
1997-07-01,3173.3,1504.1,1669.2,590.6,2169.2,413.5,2454.9,1550.8
1997-08-01,3137.3,1480.6,1656.7,578.1,2144,415.2,2446.1,1561.2
1997-09-01,3166.1,1495.2,1670.9,583,2163.8,419.3,2450.8,1571.4
1997-10-01,3164,1494.5,1669.5,580.1,2164.7,419.2,2441.6,1584.5
1997-11-01,3152.1,1484.4,1667.7,573.5,2158.2,420.4,2428,1594.4
1997-12-01,3131.8,1473,1658.8,563.5,2148.3,420,2414.2,1603.6
1998-01-01,3133.3,1471.6,1661.7,556.6,2149.8,426.9,2409.1,1617.2
1998-02-01,3122.7,1463.3,1659.4,549.5,2142.8,430.4,2405.1,1626.5
1998-03-01,3113,1457.6,1655.4,542.8,2135.3,434.9,2397.7,1633.4
1998-04-01,3109.6,1454,1655.6,539.7,2131.5,438.4,2385.6,1646.6
1998-05-01,3098,1440.8,1657.2,532.7,2125,440.3,2378.8,1651.9
1998-06-01,3079.8,1429.8,1650,529.1,2108.8,441.9,2356.5,1649.9
1998-07-01,3084,1432.2,1651.8,526.9,2112.9,444.2,2359.5,1655.4
1998-08-01,3069.7,1421,1648.7,525,2098.6,446.1,2360.8,1657.3
1998-09-01,3083.2,1430,1653.2,525.2,2107.6,450.4,2359.9,1665.5
1998-10-01,3083.6,1428.7,1654.9,523.2,2105,455.4,2368.5,1665.7
1998-11-01,3086.7,1429.7,1657,524.5,2104.4,457.8,2371.3,1666.1
1998-12-01,3079,1424,1655,523,2097.1,458.9,2380.3,1663.4
1999-01-01,3076.1,1423.6,1652.5,521.2,2091.2,463.7,2374.1,1666.1
1999-02-01,3070.9,1423.5,1647.4,520.2,2088,462.7,2373.5,1668
1999-03-01,3071.3,1423.1,1648.2,520,2087.8,463.5,2382.3,1668.3
1999-04-01,3055.7,1411.4,1644.3,516.2,2071.7,467.8,2381.7,1665.9
1999-05-01,3037.1,1401.7,1635.4,509.3,2060.7,467.1,2378.3,1660.7
1999-06-01,3026.8,1392.2,1634.6,506.9,2052.7,467.2,2376.1,1659.1
1999-07-01,2965.9,1359.4,1606.5,490.2,2023.4,452.3,2356.4,1632.4
1999-08-01,2948,1349.3,1598.7,486.6,2012,449.4,2344.5,1626.2
1999-09-01,2898.6,1320.9,1577.7,465.1,1985.4,448.1,2320.3,1611.2
1999-10-01,2876.2,1304.5,1571.7,458.6,1969.7,447.9,2306.9,1597.4
